,Location,Period,Dim1,First Tooltip,No
0,阿富汗,2019,Both sexes,5.96,AF
1,阿富汗,2019,Male,6.19,AF
2,阿富汗,2019,Female,5.67,AF
3,阿富汗,2018,Both sexes,5.91,AF
4,阿富汗,2018,Male,6.19,AF
5,阿富汗,2018,Female,5.57,AF
6,阿富汗,2017,Both sexes,5.95,AF
7,阿富汗,2017,Male,6.34,AF
8,阿富汗,2017,Female,5.5,AF
9,阿富汗,2016,Both sexes,6.01,AF
10,阿富汗,2016,Male,6.15,AF
11,阿富汗,2016,Female,5.83,AF
12,阿富汗,2015,Both sexes,5.99,AF
13,阿富汗,2015,Male,6.14,AF
14,阿富汗,2015,Female,5.78,AF
15,阿富汗,2014,Both sexes,6.02,AF
16,阿富汗,2014,Male,6.11,AF
17,阿富汗,2014,Female,5.88,AF
18,阿富汗,2013,Both sexes,6.17,AF
19,阿富汗,2013,Male,6.29,AF
20,阿富汗,2013,Female,6.0,AF
21,阿富汗,2012,Both sexes,6.24,AF
22,阿富汗,2012,Male,6.35,AF
23,阿富汗,2012,Female,6.08,AF
24,阿富汗,2011,Both sexes,6.42,AF
25,阿富汗,2011,Male,6.56,AF
26,阿富汗,2011,Female,6.24,AF
27,阿富汗,2010,Both sexes,6.67,AF
28,阿富汗,2010,Male,6.85,AF
29,阿富汗,2010,Female,6.44,AF
30,阿富汗,2009,Both sexes,6.84,AF
31,阿富汗,2009,Male,7.03,AF
32,阿富汗,2009,Female,6.59,AF
33,阿富汗,2008,Both sexes,7.17,AF
34,阿富汗,2008,Male,7.38,AF
35,阿富汗,2008,Female,6.89,AF
36,阿富汗,2007,Both sexes,7.42,AF
37,阿富汗,2007,Male,7.66,AF
38,阿富汗,2007,Female,7.11,AF
39,阿富汗,2006,Both sexes,7.56,AF
40,阿富汗,2006,Male,7.75,AF
41,阿富汗,2006,Female,7.31,AF
42,阿富汗,2005,Both sexes,7.64,AF
43,阿富汗,2005,Male,7.78,AF
44,阿富汗,2005,Female,7.44,AF
45,阿富汗,2004,Both sexes,7.77,AF
46,阿富汗,2004,Male,7.86,AF
47,阿富汗,2004,Female,7.62,AF
48,阿富汗,2003,Both sexes,7.72,AF
49,阿富汗,2003,Male,7.78,AF
50,阿富汗,2003,Female,7.6,AF
51,阿富汗,2002,Both sexes,7.85,AF
52,阿富汗,2002,Male,7.95,AF
53,阿富汗,2002,Female,7.69,AF
54,阿富汗,2001,Both sexes,7.89,AF
55,阿富汗,2001,Male,7.85,AF
56,阿富汗,2001,Female,7.89,AF
57,阿富汗,2000,Both sexes,7.71,AF
58,阿富汗,2000,Male,7.62,AF
59,阿富汗,2000,Female,7.77,AF
60,阿尔巴尼亚,2019,Both sexes,3.72,AL
61,阿尔巴尼亚,2019,Male,5.27,AL
62,阿尔巴尼亚,2019,Female,2.22,AL
63,阿尔巴尼亚,2018,Both sexes,3.94,AL
64,阿尔巴尼亚,2018,Male,5.55,AL
65,阿尔巴尼亚,2018,Female,2.38,AL
66,阿尔巴尼亚,2017,Both sexes,4.11,AL
67,阿尔巴尼亚,2017,Male,5.73,AL
68,阿尔巴尼亚,2017,Female,2.54,AL
69,阿尔巴尼亚,2016,Both sexes,4.17,AL
70,阿尔巴尼亚,2016,Male,5.7,AL
71,阿尔巴尼亚,2016,Female,2.68,AL
72,阿尔巴尼亚,2015,Both sexes,4.23,AL
73,阿尔巴尼亚,2015,Male,5.7,AL
74,阿尔巴尼亚,2015,Female,2.81,AL
